#;Número de artículo;Descripción;Fecha de contabilización;Documento;Cantidad;Cantidad;Unidad de meINGRESOSda;Tonelada;Clasificación;Procedencia
CARTULINA;100300001;Cartulina Husky -- C-8 200 gramos 25 x 36;24/10/2025;INGRESOS;1000;1000;hoja(s);0.116078;C8-25H;LOCAL
CARTULINA;100300004;Cartulina Husky -- C-10 230 gramos 25 x 36;7/10/2025;INGRESOS;15200;15200;hoja(s);2.02904344;C10-25H;LOCAL
CARTULINA;100300005;Cartulina Husky -- C-10 230 gramos 25 x 38;1/10/2025;INGRESOS;800;800;hoja(s);0.1127506;C10-25H;LOCAL
CARTULINA;100300005;Cartulina Husky -- C-10 230 gramos 25 x 38;7/10/2025;INGRESOS;800;800;hoja(s);0.1127506;C10-25H;LOCAL
CARTULINA;100300005;Cartulina Husky -- C-10 230 gramos 25 x 38;21/10/2025;INGRESOS;23100;23100;hoja(s);3.255673575;C10-25H;LOCAL
CARTULINA;100300005;Cartulina Husky -- C-10 230 gramos 25 x 38;21/10/2025;INGRESOS;4600;4600;hoja(s);0.64831595;C10-25H;LOCAL
CARTULINA;100300006;Cartulina Husky -- C-10 230 gramos 30 x 40;7/10/2025;INGRESOS;2400;2400;hoja(s);0.427353984;C10-30H;LOCAL
CARTULINA;100300008;Cartulina Husky -- C-12 270 gramos 25 x 36;1/10/2025;INGRESOS;500;500;hoja(s);0.07835265;C12-25H;LOCAL
CARTULINA;100300008;Cartulina Husky -- C-12 270 gramos 25 x 36;7/10/2025;INGRESOS;1000;1000;hoja(s);0.1567053;C12-25H;LOCAL
CARTULINA;100300008;Cartulina Husky -- C-12 270 gramos 25 x 36;21/10/2025;INGRESOS;1500;1500;hoja(s);0.23505795;C12-25H;LOCAL
CARTULINA;100300009;Cartulina Husky -- C-12 270 gramos 25 x 38;1/10/2025;INGRESOS;1000;1000;hoja(s);0.16544925;C12-25H;LOCAL
CARTULINA;100300009;Cartulina Husky -- C-12 270 gramos 25 x 38;10/10/2025;INGRESOS;1250;1250;hoja(s);0.206811563;C12-25H;LOCAL
CARTULINA;100300010;Cartulina Husky -- C-12 270 gramos 30 x 40;21/10/2025;INGRESOS;600;600;hoja(s);0.125419104;C12-30H;LOCAL
CARTULINA;100300011;Cartulina Husky -- C-14 300 gramos 25 x 38;14/10/2025;INGRESOS;14400;14400;hoja(s);2.647188;C14-25H;LOCAL
CARTULINA;100300011;Cartulina Husky -- C-14 300 gramos 25 x 38;21/10/2025;INGRESOS;13000;13000;hoja(s);2.3898225;C14-25H;LOCAL
CARTULINA;100300012;Cartulina Husky -- C-14 300 gramos 30 x 40;21/10/2025;INGRESOS;1100;1100;hoja(s);0.25548336;C14-30H;LOCAL
CARTULINA;100300013;Cartulina Husky -- C-16 350 gramos 25 x 38;23/10/2025;INGRESOS;4300;4300;hoja(s);0.922226375;C16-25H;LOCAL
CARTULINA;100300704;Cartulina FBB Zenith LOCAL -- C-16 270 gramos 25 x 36;27/10/2025;INGRESOS;15000;15000;hoja(s);2.3505795;C16-25;LOCAL
CARTULINA;100300996;Cartulina FBB Zenith LOCAL -- C-18 295 gramos 25 x 36;9/10/2025;INGRESOS;4600;4600;hoja(s);0.78758923;C18-25;LOCAL
CARTULINA;100300996;Cartulina FBB Zenith LOCAL -- C-18 295 gramos 25 x 36;21/10/2025;INGRESOS;2100;2100;hoja(s);0.359551605;C18-25;LOCAL
CARTULINA;100301871;Cartulina SPARK C-12 200 gr 25 X 38;10/10/2025;INGRESOS;200;200;hoja(s);0.024511;Papesp;LOCAL
CARTULINA;100301908;Rollo Cartulina Nine Dragons C - 13.6 215 g ancho 25 (29-89);22/10/2025;INGRESOS;165340;165340;METROS;22.5730435;C13.6-25;IMPORTACION
CARTULINA;100301908;Rollo Cartulina Nine Dragons C - 13.6 215 g ancho 25 (29-89);23/10/2025;INGRESOS;0;0;METROS;0;C13.6-25;IMPORTACION
CARTULINA;100301917;Rollo Cartulina Nine Dragons C - 16.3 255 g ancho 25 (29-89);23/10/2025;INGRESOS;280730;280730;METROS;45.45720525;C16.3-25;IMPORTACION
CARTULINA;100301917;Rollo Cartulina Nine Dragons C - 16.3 255 g ancho 25 (29-89);23/10/2025;INGRESOS;0;0;METROS;0;C16.3-25;IMPORTACION
CARTULINA;100301928;Rollo Cartulina Nine Dragons C - 19 305 g ancho 25 (29-89) REGIONAL;23/10/2025;INGRESOS;55515;55515;METROS;10.75186763;C19-25;IMPORTACION
CARTULINA;100301928;Rollo Cartulina Nine Dragons C - 19 305 g ancho 25 (29-89) REGIONAL;23/10/2025;INGRESOS;0;0;METROS;0;C19-25;IMPORTACION
CARTULINA;100304510;Cartulina FBB DUPLEX MIRABELL -- C-17 320 gramos  22 x 38.5;31/10/2025;INGRESOS;120643;120643;PLIEGOS;21.09613763;COLGATE-150;IMPORTACION
CARTULINA;100304563;Rollo Cartulina Nine Dragons C - 12 205 g ancho 25 (29-89);22/10/2025;INGRESOS;355990;355990;METROS;46.34099825;C12-25;IMPORTACION
CARTULINA;100304563;Rollo Cartulina Nine Dragons C - 12 205 g ancho 25 (29-89);23/10/2025;INGRESOS;0;0;METROS;0;C12-25;IMPORTACION
CARTULINA;100304565;Rollo Cartulina DEINGRESOSCA FSC --  C - 13.5 225 g ancho 23.125;1/10/2025;INGRESOS;141052;141052;METROS;18.6294429;OLMECA;IMPORTACION
CARTULINA;100304565;Rollo Cartulina DEINGRESOSCA FSC --  C - 13.5 225 g ancho 23.125;23/10/2025;INGRESOS;140952;140952;METROS;18.6162354;OLMECA;IMPORTACION
CARTULINA;100304565;Rollo Cartulina DEINGRESOSCA FSC --  C - 13.5 225 g ancho 23.125;23/10/2025;INGRESOS;0;0;METROS;0;OLMECA;IMPORTACION
CARTULINA;100304640;Rollo Cartulina OBAFREE --  C-15 230 g ancho 25.5;31/10/2025;INGRESOS;133067;133067;METROS;19.82312406;FOSFORERA;IMPORTACION
CARTULINA;100304640;Rollo Cartulina OBAFREE --  C-15 230 g ancho 25.5;31/10/2025;INGRESOS;125974;125974;METROS;18.76647275;FOSFORERA;IMPORTACION
CARTULINA;100304640;Rollo Cartulina OBAFREE --  C-15 230 g ancho 25.5;31/10/2025;INGRESOS;0;0;METROS;0;FOSFORERA;IMPORTACION
CARTULINA;100304640;Rollo Cartulina OBAFREE --  C-15 230 g ancho 25.5;31/10/2025;INGRESOS;-125974;125974;METROS;-18.76647275;FOSFORERA;IMPORTACION
CARTULINA;100304642;Rollo Cartulina Nine Dragons C - 19 305 g ancho 29;23/10/2025;INGRESOS;53125;53125;METROS;11.93522188;C19-29;IMPORTACION
CARTULINA;100304642;Rollo Cartulina Nine Dragons C - 19 305 g ancho 29;23/10/2025;INGRESOS;0;0;METROS;0;C19-29;IMPORTACION
CARTULINA;100305981;Cartulina FBB DUPLEX MIRABELL -- C-16 300 gramos  28 x 34;10/10/2025;INGRESOS;183299;183299;PLIEGOS;33.77425142;COLGATE-75;IMPORTACION
CARTULINA;100305981;Cartulina FBB DUPLEX MIRABELL -- C-16 300 gramos  28 x 34;10/10/2025;INGRESOS;0;0;PLIEGOS;0;COLGATE-75;IMPORTACION
CARTULINA;100305981;Cartulina FBB DUPLEX MIRABELL -- C-16 300 gramos  28 x 34;31/10/2025;INGRESOS;307030;307030;PLIEGOS;56.5726404;COLGATE-75;IMPORTACION
CARTULINA;100305982;Cartulina FBB DUPLEX MIRABELL -- C-16 300 gramos  20 x 32.5;10/10/2025;INGRESOS;43018;43018;PLIEGOS;5.411931112;COLGATE-100;IMPORTACION
CARTULINA;100305982;Cartulina FBB DUPLEX MIRABELL -- C-16 300 gramos  20 x 32.5;10/10/2025;INGRESOS;0;0;PLIEGOS;0;COLGATE-100;IMPORTACION
CARTULINA;100305982;Cartulina FBB DUPLEX MIRABELL -- C-16 300 gramos  20 x 32.5;31/10/2025;INGRESOS;133322;133322;PLIEGOS;16.7727342;COLGATE-100;IMPORTACION
CARTULINA;100305983;Cartulina FBB DUPLEX MIRABELL -- C-16 300 gramos  25.5 x 36.5;10/10/2025;INGRESOS;32292;32292;PLIEGOS;5.817235914;COLGATE-50;IMPORTACION
CARTULINA;100305983;Cartulina FBB DUPLEX MIRABELL -- C-16 300 gramos  25.5 x 36.5;10/10/2025;INGRESOS;0;0;PLIEGOS;0;COLGATE-50;IMPORTACION
CARTULINA;100305983;Cartulina FBB DUPLEX MIRABELL -- C-16 300 gramos  25.5 x 36.5;31/10/2025;INGRESOS;149794;149794;PLIEGOS;26.98461032;COLGATE-50;IMPORTACION
CARTULINA;100305984;Cartulina FBB DUPLEX MIRABELL -- C-16 300 gramos  25 x 34;31/10/2025;INGRESOS;29003;29003;PLIEGOS;4.771451747;COLGATE-22;IMPORTACION
CARTULINA;100305985;Cartulina FBB DUPLEX MIRABELL -- C-17 320 gramos  21.5 x 35;31/10/2025;INGRESOS;70251;70251;PLIEGOS;10.91381095;COLGATE-125;IMPORTACION
CARTULINA;100305987;Cartulina SPARK C-12 200 gr 30 X 40;10/10/2025;INGRESOS;200;200;PLIEGOS;0.03096768;SPARK;LOCAL
CARTULINA;100305996;Cartulina SPARK -- C-16 250 gramos 25 X 38;21/10/2025;INGRESOS;12600;12600;hoja(s);1.9306413;SPARK;LOCAL
CARTULINA;100305996;Cartulina SPARK -- C-16 250 gramos 25 X 38;24/10/2025;INGRESOS;800;800;hoja(s);0.1225804;SPARK;LOCAL
CARTULINA;100305997;Cartulina SPARK -- C-16 250 gramos 25 X 36;21/10/2025;INGRESOS;10000;10000;hoja(s);1.45161;SPARK;LOCAL
CARTULINA;100305997;Cartulina SPARK -- C-16 250 gramos 25 X 36;24/10/2025;INGRESOS;600;600;hoja(s);0.0870966;SPARK;LOCAL
CARTULINA;100306002;Cartulina FBB DRAGONS YA ESTÁ -- C-16.3 255 gramos  39.5 x 25;31/10/2025;INGRESOS;143000;143000;PLIEGOS;23.23168741;YA ESTA;IMPORTACION
CARTULINA;100306003;Rollo Cartulina Nine Dragons C - 16.3 255 g ancho 28.5;23/10/2025;INGRESOS;123195;123195;METROS;22.74111943;C16.3-28.5;IMPORTACION
CARTULINA;100306003;Rollo Cartulina Nine Dragons C - 16.3 255 g ancho 28.5;23/10/2025;INGRESOS;0;0;METROS;0;C16.3-28.5;IMPORTACION
PAPEL;100600003;Papel Bond 55 gramos -- 26 x 34;7/10/2025;INGRESOS;1000;1000;PLIEGOS;0.0313269;Bond;LOCAL
PAPEL;100600005;Papel Bond 75 gramos -- 22 x 34;1/10/2025;INGRESOS;3000;3000;PLIEGOS;0.10834965;Bond;LOCAL
PAPEL;100600005;Papel Bond 75 gramos -- 22 x 34;9/10/2025;INGRESOS;6000;6000;PLIEGOS;0.2166993;Bond;LOCAL
PAPEL;100600005;Papel Bond 75 gramos -- 22 x 34;21/10/2025;INGRESOS;7500;7500;PLIEGOS;0.270874125;Bond;LOCAL
PAPEL;100600011;Papel Bond 90 gramos -- 22 x 34;7/10/2025;INGRESOS;2000;2000;PLIEGOS;0.08667972;Bond;LOCAL
PAPEL;100600018;Papel Bond 60 gramos -- 21 x 30;1/10/2025;INGRESOS;126000;126000;PLIEGOS;3.07046376;Bond;LOCAL
PAPEL;100600018;Papel Bond 60 gramos -- 21 x 30;9/10/2025;INGRESOS;63300;63300;PLIEGOS;1.542542508;Bond;LOCAL
PAPEL;100600018;Papel Bond 60 gramos -- 21 x 30;15/10/2025;INGRESOS;38500;38500;PLIEGOS;0.93819726;Bond;LOCAL
PAPEL;100600018;Papel Bond 60 gramos -- 21 x 30;21/10/2025;INGRESOS;-38500;38500;PLIEGOS;-0.93819726;Bond;LOCAL
PAPEL;100600018;Papel Bond 60 gramos -- 21 x 30;21/10/2025;INGRESOS;38500;38500;PLIEGOS;0.93819726;Bond;LOCAL
PAPEL;100600020;Papel Couche Brillante B-60 -- 90 gramos  25 x 36;24/10/2025;INGRESOS;39000;39000;PLIEGOS;2.0371689;Couche;LOCAL
PAPEL;100600021;Papel Couche Brillante - 1 Cara - B-60 -- 90 gramos  25 x 36;9/10/2025;INGRESOS;5000;5000;PLIEGOS;0.2611755;Couche;LOCAL
PAPEL;100600021;Papel Couche Brillante - 1 Cara - B-60 -- 90 gramos  25 x 36;21/10/2025;INGRESOS;6000;6000;PLIEGOS;0.3134106;Couche;LOCAL
PAPEL;100600021;Papel Couche Brillante - 1 Cara - B-60 -- 90 gramos  25 x 36;21/10/2025;INGRESOS;12250;12250;PLIEGOS;0.639879975;Couche;LOCAL
